Event	ID	Name			Wwise Object Path	Notes
	165273641	play_player_loco_pop_in			\PlayerLocomotion\play_player_loco_pop_in	
	649430399	play_player_loco_footsteps_material			\PlayerLocomotion\play_player_loco_footsteps_material	
	688589301	play_player_loco_rolling_onion			\PlayerLocomotion\play_player_loco_rolling_onion	
	2206730916	play_player_loco_rolling_noise			\PlayerLocomotion\play_player_loco_rolling_noise	
	2506827726	play_player_vocs_edude_laughts			\Player\play_player_vocs_edude_laughts	
	2544220277	play_player_vocs_edude_onion			\Player\play_player_vocs_edude_onion	
	2952227656	play_player_loco_pop_out			\PlayerLocomotion\play_player_loco_pop_out	
	3084600189	play_onion_music			\Music\play_onion_music	
	3187507146	Play_Test			\Default Work Unit\Play_Test	
	3670755994	play_player_vocs_edude_sighs			\Player\play_player_vocs_edude_sighs	
	3759155914	Play_Test4			\Default Work Unit\Play_Test4	
	3759155916	Play_Test2			\Default Work Unit\Play_Test2	
	3809297239	play_player_vocs_edude_grunts			\Player\play_player_vocs_edude_grunts	
	3991942870	music			\Music\music	

Switch Group	ID	Name			Wwise Object Path	Notes
	3865314626	Material			\Default Work Unit\Material	

Switch	ID	Name	Switch Group			Notes
	782826392	default	Material			

State Group	ID	Name			Wwise Object Path	Notes
	410841082	StateGroupMusic			\Default Work Unit\StateGroupMusic	

State	ID	Name	State Group			Notes
	748895195	None	StateGroupMusic			
	3372421815	LevelStart	StateGroupMusic			
	3374585465	InMenu	StateGroupMusic			

Game Parameter	ID	Name			Wwise Object Path	Notes
	3334042923	RTPC_Noise			\Default Work Unit\RTPC_Noise	

Modulator LFO	ID	Name			Wwise Object Path	Notes
	642706188	Noise Modulator LFO			\Default Work Unit\Noise Modulator LFO	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	224189034	Wwise Tone Generator	Wwise Tone Generator		\Actor-Mixer Hierarchy\Player\player_loco\player_loco_rolling_synth\Wwise Tone Generator	
	809201265	Wwise Sine	Wwise Sine		\Actor-Mixer Hierarchy\Default Work Unit\Test\Wwise Sine	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	323071996	player_vocs_edude_onion_07	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Onion7_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_onion\player_vocs_edude_onion_07		14931
	333436250	player_vocs_edude_laughts_01	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Laugh1_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_laughts\player_vocs_edude_laughts_01		6713
	370717345	player_vocs_edude_onion_09	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Onion9_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_onion\player_vocs_edude_onion_09		15308
	449957065	player_loco_pop in_02	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Zzogg\locomotion\player_loco_pop in_02_7E846921.wem		\Actor-Mixer Hierarchy\Player\player_loco\player_loco_pop in\player_loco_pop in_02		2463
	514191022	player_loco_footsteps_default_03	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Zzogg\locomotion\FOODIngr_Onion Tappin Hitting Footsteps Rustling 03_ZZOGG_NONE_Tascam DR100 mkIII USI pro Mono_7E846921.wem		\Actor-Mixer Hierarchy\Player\player_loco\player_loco_footsteps_material\player_loco_footsteps_material_default\player_loco_footsteps_default_03		4850
	529730406	player_vocs_edude_onion_03	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Onion3_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_onion\player_vocs_edude_onion_03		8097
	544747540	player_vocs_edude_sighs_06	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Sigh6_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_sighs\player_vocs_edude_sighs_06		10658
	589217108	player_loco_pop in_01	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Zzogg\locomotion\player_loco_pop in_01_7E846921.wem		\Actor-Mixer Hierarchy\Player\player_loco\player_loco_pop in\player_loco_pop in_01		1751
	633496987	player_vocs_edude_onion_08	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Onion8_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_onion\player_vocs_edude_onion_08		7420
	655888127	player_vocs_edude_sighs_02	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Sigh2_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_sighs\player_vocs_edude_sighs_02		9442
	661352392	player_vocs_edude_laughts_06	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Laugh6_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_laughts\player_vocs_edude_laughts_06		19894
	705689019	player_vocs_edude_sighs_04	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Sigh4_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_sighs\player_vocs_edude_sighs_04		8642
	721512224	player_vocs_edude_laughts_05	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Laugh5_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_laughts\player_vocs_edude_laughts_05		5738
	758101622	player_vocs_edude_laughts_04	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Laugh4_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_laughts\player_vocs_edude_laughts_04		14463
	796305672	player_vocs_edude_sighs_03	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Sigh3_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_sighs\player_vocs_edude_sighs_03		8982
	829094000	Test2	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\wasd_block_106_click+sine-2_m_p_B96106C1.wem		\Actor-Mixer Hierarchy\Default Work Unit\Test2		13120
	871168759	player_vocs_edude_sighs_05	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Sigh5_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_grunts\player_vocs_edude_sighs_05		3700
	918185860	player_vocs_edude_onion_05	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Onion5_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_onion\player_vocs_edude_onion_05		10338
	973152087	player_vocs_edude_onion_04	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Onion4_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_onion\player_vocs_edude_onion_04		11629
	1016039546	player_loco_rolling_onion	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Zzogg\locomotion\onion_loco_rolling_40E76DEF.wem		\Actor-Mixer Hierarchy\Player\player_loco\player_loco_rolling_onion		142038
	1041873288	player_vocs_edude_laughts_03	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Laugh3_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_laughts\player_vocs_edude_laughts_03		7842
	1052377535	player_vocs_edude_sighs_01	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Sigh1_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_sighs\player_vocs_edude_sighs_01		13012
	1065719921	player_vocs_edude_onion_02	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Onion2_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_onion\player_vocs_edude_onion_02		7500

Streamed Audio	ID	Name	Audio source file	Generated audio file	Wwise Object Path	Notes
	976112377	OnionIsland98bpm	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Music\OnionIsland98bpm_D79FB2B7.wem	976112377.wem	\Interactive Music Hierarchy\Default Work Unit\onion_music\onion_music_main_theme\music_main_theme\OnionIsland98bpm	

